,mtry,Accuracy,AccuracySD,,KappaSD,Kappa,,,Accuracy,Kappa,AccuracySD,KappaSD
6,6,0.900,0.03,,0.121,0.68,,,0.887541417,0.68183963,0.039210694,0.120553731
4,4,0.896,0.04,,0.126,0.70,,,0.895623049,0.704699539,0.041940825,0.126223153
2,2,0.896,0.04,,0.134,0.70,,,0.895621449,0.699855791,0.042999279,0.133886073
7,7,0.896,0.03,,0.134,0.70,,,0.895701481,0.700633624,0.04157998,0.13449164
3,3,0.896,0.04,,0.136,0.68,,,0.889701481,0.682183169,0.043098359,0.135510628
8,8,0.894,0.03,,0.106,0.71,,,0.899663866,0.712748174,0.033865667,0.105557033
12,12,0.894,0.02,,0.110,0.70,,,0.895623049,0.698367895,0.033716622,0.110493998
10,10,0.890,0.03,,0.113,0.69,,,0.893783113,0.690878888,0.031900444,0.112895941
9,9,0.890,0.03,,0.117,0.68,,,0.889703081,0.677595378,0.03104361,0.11733239
5,5,0.890,0.04,,0.103,0.68,,,0.889742297,0.681195994,0.027742579,0.103262808
11,11,0.888,0.04,,0.131,0.67,,,0.887781513,0.673379607,0.036969245,0.131012079
1,1,0.888,0.04,,0.087,0.69,,,0.893703081,0.694664999,0.024351831,0.086557698
